http://purl.org/dc/elements/1.1/description,http://www.georss.org/georss/point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type_label,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,http://www.w3.org/2002/07/owl#differentFrom,http://www.w3.org/2002/07/owl#differentFrom_label,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,ontology/activeYears,ontology/activeYearsEndDate,ontology/activeYearsEndYear,ontology/activeYearsStartDate,ontology/activeYearsStartYear,ontology/alias,ontology/allegiance,ontology/almaMater,ontology/almaMater_label,ontology/appointer,ontology/appointer_label,ontology/associate,ontology/associate_label,ontology/associatedBand,ontology/associatedBand_label,ontology/associatedMusicalArtist,ontology/associatedMusicalArtist_label,ontology/award,ontology/award_label,ontology/background,ontology/battle,ontology/battle_label,ontology/birthDate,ontology/birthName,ontology/birthPlace,ontology/birthPlace_label,ontology/birthYear,ontology/board,ontology/board_label,ontology/bodyDiscovered,ontology/bodyDiscovered_label,ontology/chancellor,ontology/chancellor_label,ontology/child,ontology/child_label,ontology/citizenship,ontology/citizenship_label,ontology/committee,ontology/country,ontology/country_label,ontology/creator,ontology/creator_label,ontology/deathCause,ontology/deathCause_label,ontology/deathDate,ontology/deathPlace,ontology/deathPlace_label,ontology/deathYear,ontology/deputy,ontology/deputy_label,ontology/education,ontology/education_label,ontology/electionMajority,ontology/employer,ontology/employer_label,ontology/ethnicity,ontology/ethnicity_label,ontology/firstAppearance,ontology/gender,ontology/gender_label,ontology/genre,ontology/genre_label,ontology/governor,ontology/governorGeneral,ontology/governorGeneral_label,ontology/governor_label,ontology/height,ontology/hometown,ontology/hometown_label,ontology/honours,ontology/honours_label,ontology/imdbId,ontology/influenced,ontology/influencedBy,ontology/influencedBy_label,ontology/influenced_label,ontology/instrument,ontology/instrument_label,ontology/knownFor,ontology/knownFor_label,ontology/language,ontology/language_label,ontology/lastAppearance,ontology/lastAppearance_label,ontology/lieutenant,ontology/lieutenant_label,ontology/militaryBranch,ontology/militaryBranch_label,ontology/militaryCommand,ontology/militaryRank,ontology/militaryRank_label,ontology/militaryUnit,ontology/militaryUnit_label,ontology/monarch,ontology/monarch_label,ontology/movement,ontology/movement_label,ontology/nationality,ontology/nationality_label,ontology/networth,ontology/notableWork,ontology/notableWork_label,ontology/occupation,ontology/occupation_label,ontology/office,ontology/opponent,ontology/opponent_label,ontology/orderInOffice,ontology/otherParty,ontology/otherParty_label,ontology/parent,ontology/parent_label,ontology/partner,ontology/partner_label,ontology/party,ontology/party_label,ontology/personFunction,ontology/personFunction_label,ontology/portfolio,ontology/portrayer,ontology/portrayer_label,ontology/predecessor,ontology/predecessor_label,ontology/president,ontology/president_label,ontology/primeMinister,ontology/primeMinister_label,ontology/profession,ontology/profession_label,ontology/pseudonym,ontology/race,ontology/raceHorse,ontology/raceHorse_label,ontology/race_label,ontology/recordLabel,ontology/recordLabel_label,ontology/region,ontology/region_label,ontology/relation,ontology/relation_label,ontology/relative,ontology/relative_label,ontology/religion,ontology/religion_label,ontology/residence,ontology/residence_label,ontology/restingPlace,ontology/restingPlacePosition,ontology/restingPlace_label,ontology/salary,ontology/school,ontology/school_label,ontology/seniority,ontology/series,ontology/series_label,ontology/serviceEndYear,ontology/serviceStartYear,ontology/signature,ontology/soundRecording,ontology/soundRecording_label,ontology/species,ontology/species_label,ontology/spouse,ontology/spouse_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/successor,ontology/successor_label,ontology/termPeriod,ontology/termPeriod_label,ontology/timeInSpace,ontology/title,ontology/type,ontology/type_label,ontology/viafId,ontology/vicePresident,ontology/vicePresident_label,ontology/voice,ontology/voice_label,ontology/weight,ontology/wins,title
Tunisian journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hosni Zaghdoudi,,,,,,,,,,,1994,,,,,,,,,,,,,,,,,,1973-03-18,,http://dbpedia.org/resource/Tunisia | http://dbpedia.org/resource/Tunis,Tunisia | Tunis,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Tunisia,Tunisia,,,,http://dbpedia.org/resource/Hosni_Zaghdoudi__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Presenter | http://dbpedia.org/resource/Television_producer,Hosni_Zaghdoudi__1 | Journalist | Presenter | Television producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Tunisia,Tunisia,,,,,,,,,,,,,,,,Hosni_Zaghdoudi
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hotsumi Ozaki,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Tokyo,University of Tokyo,,,,,,,,,,,,,,1901-04-29,,"http://dbpedia.org/resource/Gifu_Prefecture | http://dbpedia.org/resource/Shirakawa,_Gifu_(town)",Gifu Prefecture | Shirakawa Gifu (town),1901,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hanging,Hanging,1944-11-07,http://dbpedia.org/resource/Tokyo,Tokyo,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hotsumi_Ozaki__1 | http://dbpedia.org/resource/Journalist,Hotsumi_Ozaki__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotsumi_Ozaki
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Howard Kurtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953-08-01,Howard Alan Kurtz,http://dbpedia.org/resource/Brooklyn,Brooklyn,1953,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Columbia_University | http://dbpedia.org/resource/University_at_Buffalo,Columbia University | University at Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Howard_Kurtz__1 | http://dbpedia.org/resource/Author | http://dbpedia.org/resource/Journalist,Howard_Kurtz__1 | Author | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howard_Kurtz
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hrant Dink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954-09-15,,http://dbpedia.org/resource/Malatya | http://dbpedia.org/resource/Turkey,Malatya | Turkey,1954,,,,,,,http://dbpedia.org/resource/Arat_Dink,Arat Dink,,,,,,,,,,2007-01-19,http://dbpedia.org/resource/Istanbul | http://dbpedia.org/resource/Turkey,Istanbul | Turkey,2007,,,,,,,,http://dbpedia.org/resource/Armenians,Armenians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Turkey,Turkey,,,,http://dbpedia.org/resource/Hrant_Dink__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Columnist,Hrant_Dink__1 | Journalist | Columnist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Armenian_Apostolic_Church,Armenian Apostolic Church,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Turkey,Turkey,,,,,,,,,,,,,,,,Hrant_Dink
Sportswriter,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hub Arkush,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Michigan | http://dbpedia.org/resource/Southern_Illinois_University,University of Michigan | Southern Illinois University,,,,,,,,,,,,,,1953-02-14,Herb Arkush,,,1953,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Physical_education,Physical education,,http://dbpedia.org/resource/Chicago_Sun-Times | http://dbpedia.org/resource/Daily_Herald_(Arlington_Heights) | http://dbpedia.org/resource/Westwood_One_(current),Chicago Sun-Times | Daily Herald (Arlington Heights) | Westwood One (current),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hub_Arkush__1 | http://dbpedia.org/resource/Hub_Arkush__2 | http://dbpedia.org/resource/Hub_Arkush__3 | http://dbpedia.org/resource/Journalist,Hub_Arkush__1 | Hub_Arkush__2 | Hub_Arkush__3 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hub_Arkush
Australian politician,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/OfficeHolder | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | office holder | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hubert Sizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893-08-07,Hubert Ebenezer Sizer,http://dbpedia.org/resource/Cambridgeshire | http://dbpedia.org/resource/Cambridge | http://dbpedia.org/resource/England,Cambridgeshire | Cambridge | England,1893,,,,,,,,,,,,,,,,,,1973-05-04,"http://dbpedia.org/resource/Victoria_(Australia) | http://dbpedia.org/resource/Australia | http://dbpedia.org/resource/Murrindindi,_Victoria",Victoria (Australia) | Australia | Murrindindi Victoria,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist,Journalist,Queensland Legislative,,,,http://dbpedia.org/resource/Country_and_Progressive_National_Party | http://dbpedia.org/resource/United_Party_(Queensland),Country and Progressive National Party | United_Party_(Queensland),,,,,http://dbpedia.org/resource/Nationalist_Party_of_Australia,Nationalist Party of Australia,,,,,,http://dbpedia.org/resource/Thomas_Bridges_(Australian_politician),Thomas Bridges (Australian politician),,,,,,,,,,,,,,http://dbpedia.org/resource/Electoral_district_of_Sandgate | http://dbpedia.org/resource/Electoral_district_of_Nundah,Electoral district of Sandgate | Electoral district of Nundah,,,,,http://dbpedia.org/resource/Methodism,Methodism,,,http://dbpedia.org/resource/Cremation,,Cremation,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wiliam_Kelso | http://dbpedia.org/resource/Ronald_Hislop,Wiliam_Kelso | Ronald_Hislop,http://dbpedia.org/resource/Hubert_Sizer__1 | http://dbpedia.org/resource/Hubert_Sizer__2,Hubert_Sizer__1 | Hubert_Sizer__2,,,,,,,,,,,,Hubert_Sizer
author and journalist from the United Kingdom,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Journalist | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q1930187,owl#Thing | person | journalist | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q1930187,Hugh Aldersey-Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Cambridge,University of Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_Kingdom,United Kingdom,,,,http://dbpedia.org/resource/Hugh_Aldersey-Williams__1 | http://dbpedia.org/resource/Author | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Columnist,Hugh_Aldersey-Williams__1 | Author | Journalist | Columnist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh_Aldersey-Williams
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Hugh Aynesworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931-08-02,Hugh Grant Aynesworth,"http://dbpedia.org/resource/Clarksburg,_West_Virginia",Clarksburg West Virginia,1931,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Salem_International_University | http://dbpedia.org/resource/Robert_C._Byrd_High_School,Salem International University | Robert C. Byrd High School,,,,,,,,,http://dbpedia.org/resource/Non-fiction,Non-fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh_Aynesworth
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hugh Fearnley-Whittingstall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965-01-14,Hugh Fearnley-Whittingstall,http://dbpedia.org/resource/London | http://dbpedia.org/resource/Hampstead | http://dbpedia.org/resource/England,London | Hampstead | England,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136041,,,,,,,http://dbpedia.org/resource/River_Cottage,River Cottage,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hugh_Fearnley-Whittingstall__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Celebrity | http://dbpedia.org/resource/Food_writing | http://dbpedia.org/resource/Celebrity_chef,Hugh_Fearnley-Whittingstall__1 | Journalist | Celebrity | Food writing | Celebrity chef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh_Fearnley-Whittingstall
British writer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hugh Pym,,,,,,,,,,,,,,"http://dbpedia.org/resource/Christ_Church,_Oxford | http://dbpedia.org/resource/Falmouth_University",Christ Church Oxford | Falmouth University,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/BBC,BBC,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/BBC_News,BBC News,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_Kingdom,United Kingdom,,,,http://dbpedia.org/resource/Hugh_Pym__1 | http://dbpedia.org/resource/Journalist,Hugh_Pym__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Church_of_Scotland,Church of Scotland,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_Kingdom,United Kingdom,,,,,,,,,,,,,,,,Hugh_Pym
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hugh Riminton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Sri_Lanka,Sri Lanka,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hugh_Riminton__1 | http://dbpedia.org/resource/Journalist,Hugh_Riminton__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh_Riminton
Television journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hugh Schofield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961-08-19,Hugh Robert Armstrong Schofield,http://dbpedia.org/resource/Cardiff | http://dbpedia.org/resource/United_Kingdom | http://dbpedia.org/resource/Glamorgan | http://dbpedia.org/resource/Wales,Cardiff | United Kingdom | Glamorgan | Wales,1961,,,,,,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Bristol | http://dbpedia.org/resource/St_John's_College,_Oxford | http://dbpedia.org/resource/Clifton_College",Bristol | St John's College Oxford | Clifton College,,http://dbpedia.org/resource/Agence_France-Presse | http://dbpedia.org/resource/BBC,Agence France-Presse | BBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hugh_Schofield__1 | http://dbpedia.org/resource/Author | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Editing,Hugh_Schofield__1 | Author | Journalist | Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Paris,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh_Schofield
Uruguayan writer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Hugo Burel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951-03-23,José Hugo Burel Guerra,http://dbpedia.org/resource/Uruguay | http://dbpedia.org/resource/Montevideo,Uruguay | Montevideo,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Non-fiction | http://dbpedia.org/resource/Fiction,Non-fiction | Fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo Burel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo_Burel
British writer,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Hugo Charteris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922-12-11,,,,1922,,,,,,,,,,,,,,,,,,1970-12-20,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Scottish_people,Scottish people,,,,http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Screenwriter | http://dbpedia.org/resource/Novelist,Journalist | Screenwriter | Novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo_Charteris
American politician,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/OfficeHolder | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | office holder | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hugo S. Sims Jr.,,,,,,,,,,,,,,http://dbpedia.org/resource/Wofford_College | http://dbpedia.org/resource/University_of_South_Carolina_School_of_Law,Wofford College | University of South Carolina School of Law,,,,,,,,,http://dbpedia.org/resource/Silver_Star | http://dbpedia.org/resource/Distinguished_Service_Cross_(United_States),Silver Star | Distinguished Service Cross (United States),,http://dbpedia.org/resource/World_War_II,World War II,1921-10-14,,"http://dbpedia.org/resource/Orangeburg,_South_Carolina",Orangeburg South Carolina,1921,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,,2004-07-09,http://dbpedia.org/resource/South_Carolina,South Carolina,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States_Army,United States Army,,http://dbpedia.org/resource/Captain_(United_States),Captain (United States),,,,,,,,,,,,,,Member of theSouth Carolina House of RepresentativesfromOrangeburg County,,,,,,,,,,http://dbpedia.org/resource/Democratic_Party_(United_States),Democratic Party (United States),,,,,,http://dbpedia.org/resource/John_J._Riley,John J. Riley,,,,,http://dbpedia.org/resource/Lawyer | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Businessperson,Lawyer | Journalist | Businessperson,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1942,,,,,,,,,,http://dbpedia.org/resource/John_J._Riley,John J. Riley,"http://dbpedia.org/resource/Hugo_S._Sims,_Jr.__1 | http://dbpedia.org/resource/Hugo_S._Sims,_Jr.__2",Hugo_S._Sims_Jr.__1 | Hugo_S._Sims_Jr.__2,,,,,,,,,,,,"Hugo_S._Sims,_Jr."
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Hugo Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951-12-11,Hugo Ralph Vickers,http://dbpedia.org/resource/London,London,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Hugo_Vickers__1 | http://dbpedia.org/resource/Author | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/List_of_biographers | http://dbpedia.org/resource/Presenter,Hugo_Vickers__1 | Author | Journalist | List of biographers | Presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo_Vickers
